nbpt = 100
(400,300)
(100,500)
(600,400)
(250,100)
(700,200)
(200,410)
(99,350)
(150,555)
(500,530)
(380,470)
(15,570)
(750,21)
(610,20)
(225,150)
(550,80)
(50,510)
(725,250)
(410,325)
(715,450)
(125,490)
(290,390)
(590,225)
(430,180)
(280,535)
(55,185)
(195,215)
(385,45)
(145,30)
(20,235)
(605,580)
(770,550)
(570,310)
(460,25)
(495,205)
(210,573)
(485,460)
(760,145)
(595,455)
(60,75)
(565,160)
(475,40)
(435,575)
(25,375)
(320,245)
(765,311)
(685,55)
(126,299)
(197,452)
(255,499)
(399,425)
(720,385)
(378,525)
(375,101)
(265,46)
(85,22)
(279,290)
(436,265)
(440,355)
(535,335)
(650,360)
(675,495)
(270,170)
(151,190)
(19,120)
(310,571)
(251,315)
(188,365)
(166,520)
(726,548)
(599,540)
(775,70)
(666,142)
(388,195)
(182,125)
(40,472)
(505,565)
(683,275)
(553,395)
(350,353)
(340,26)
(110,93)
(95,216)
(101,578)
(497,104)
(309,121)
(194,264)
(57,313)
(768,391)
(482,309)
(301,428)
(554,441)
(427,542)
(528,18)
(183,23)
(115,446)
(525,217)
(615,171)
(620,314)
(771,229)
(787,442)
